entry_time,exit_time,direction,size,entry_price,exit_price,reason,pnl,cash_after
2025-01-31T10:01:00+03:00,2025-01-31T10:21:00+03:00,Long,1,98.4900,98.7658,take_profit,0.2758,29999.24
2025-02-03T10:01:00+03:00,2025-02-03T10:21:00+03:00,Long,1,100.1800,100.4605,take_profit,0.2805,29999.52
2025-02-04T10:01:00+03:00,2025-02-04T10:21:00+03:00,Short,1,99.8400,99.5604,take_profit,0.2796,29999.80
2025-02-05T10:01:00+03:00,2025-02-05T11:00:00+03:00,Long,1,100.1700,99.4888,stop_loss,-0.6812,29999.11
2025-02-06T10:01:00+03:00,2025-02-06T11:01:00+03:00,Short,1,97.0900,97.7211,stop_loss,-0.6311,29998.48
2025-02-07T10:01:00+03:00,2025-02-07T13:35:00+03:00,Long,1,99.0800,98.4063,stop_loss,-0.6737,29997.81
2025-02-10T10:01:00+03:00,2025-02-10T12:10:00+03:00,Short,1,98.8100,98.5333,take_profit,0.2767,29998.09
2025-02-11T10:01:00+03:00,2025-02-11T10:11:00+03:00,Short,1,97.9000,97.6259,take_profit,0.2741,29998.36
2025-02-12T10:01:00+03:00,2025-02-12T10:16:00+03:00,Short,1,96.8100,96.5389,take_profit,0.2711,29998.63
2025-02-13T10:01:00+03:00,2025-02-13T10:33:00+03:00,Short,1,92.2900,92.8899,stop_loss,-0.5999,29998.03
2025-02-14T10:01:00+03:00,2025-02-14T10:04:00+03:00,Short,1,91.6000,92.1954,stop_loss,-0.5954,29997.44
2025-02-17T10:01:00+03:00,2025-02-17T10:24:00+03:00,Short,1,93.1700,92.9091,take_profit,0.2609,29997.70
2025-02-18T10:01:00+03:00,2025-02-18T10:04:00+03:00,Long,1,92.4200,92.6788,take_profit,0.2588,29997.96
2025-02-19T10:01:00+03:00,2025-02-19T10:26:00+03:00,Short,1,92.3100,92.0515,take_profit,0.2585,29998.21
2025-02-20T10:01:00+03:00,2025-02-20T10:25:00+03:00,Long,1,91.6000,90.9771,stop_loss,-0.6229,29997.59
2025-02-21T10:01:00+03:00,2025-02-21T10:10:00+03:00,Short,1,88.8500,89.4275,stop_loss,-0.5775,29997.01
2025-02-24T10:01:00+03:00,2025-02-24T10:02:00+03:00,Short,1,89.1000,88.8505,take_profit,0.2495,29997.26
2025-02-25T10:01:00+03:00,2025-02-25T11:54:00+03:00,Long,1,88.1500,87.5506,stop_loss,-0.5994,29996.66
2025-02-26T10:01:00+03:00,2025-02-26T10:59:00+03:00,Long,1,87.4800,87.7249,take_profit,0.2449,29996.91
2025-02-27T10:01:00+03:00,2025-02-27T10:03:00+03:00,Long,1,89.9300,90.1818,take_profit,0.2518,29997.16
2025-02-28T10:01:00+03:00,2025-02-28T11:05:00+03:00,Long,1,90.6300,90.0137,stop_loss,-0.6163,29996.54
2025-03-03T10:01:00+03:00,2025-03-03T10:15:00+03:00,Long,1,90.3700,90.6230,take_profit,0.2530,29996.80
